PL (NUM_DEP,NUM_COM,SECTION,NUM);SURFACE;PERIMETRE;Nseg;N50;P2;MSI;PSI;ELONG
112850B1314;0.40268;347;10;3;49.48;1.544;0.580984634589326;4.306
112850B0377;0.14409;232;10;3;48.25;1.724;0.504104720400719;2.921
112850B0375;0.43786;348;18;4;35.81;1.485;0.57172690995762;1.190
112850B0038;0.13377;180;7;3;45.97;1.388;0.70259286580639;1.821
112850B1547;0.01307;46;4;2;53.03;1.130;0.887506939968386;1.137
112850B1488;0.00159;26;4;2;88.80;1.862;0.510488620082196;8.608
112850B1487;0.00168;26;4;2;88.14;1.817;0.519433391727229;8.172
112850B1485;0.09693;124;8;2;52.89;1.125;0.741757790939546;1.415
112850B1566;0.04656;91;4;2;65.12;1.184;0.803900592676686;1.865
112850B1374;0.09738;127;4;2;57.42;1.144;0.859102651338386;1.421
112850B1394;0.17833;169;4;2;51.48;1.129;0.890794649571957;1.062
112850B0037;0.14681;155;4;2;58.06;1.144;0.897160318447922;1.412
112850B0036;0.04758;94;4;2;68.47;1.214;0.813206964588824;2.140
112850B1413;0.00439;29;4;2;60.91;1.235;0.790802943511832;1.537
112850B1412;0.00138;15;4;2;59.55;1.150;0.847629678940248;1.447
112850B1411;0.13063;139;8;3;47.62;1.086;0.776694460877036;1.228
112850B1410;0.12884;145;4;2;56.50;1.138;0.865298619058731;1.301
112850B1409;0.06558;114;4;2;71.83;1.254;0.741935378615149;2.530
112850B1408;0.15334;160;4;2;60.22;1.154;0.844579616980232;1.503
112850B1546;0.14969;231;14;4;32.06;1.686;0.658770015154824;1.009
112850B0032;0.15821;165;4;2;63.00;1.173;0.824082033303514;1.522
112850B1486;0.12548;191;10;3;41.89;1.519;0.602279285214475;1.210
112850B1481;0.17754;169;11;3;41.15;1.129;0.75737326314737;1.032
112850B1300;0.94298;488;6;3;48.47;1.419;0.702071470450449;1.002
112850B0388;0.69054;452;15;5;25.83;1.533;0.641062029774496;4.261
112850B1246;1.69561;570;18;5;23.33;1.236;0.734863843229249;1.154
112850B0370;0.68087;447;9;4;34.81;1.529;0.641583955180115;3.025
112850B1255;1.21638;521;12;3;45.28;1.331;0.646421647961762;1.775
112850B1254;1.22503;461;8;2;62.28;1.176;0.707468712231738;1.724
112850B1375;1.79620;571;15;4;34.26;1.202;0.710323871423537;1.485
112850B0040;1.16309;678;10;2;53.78;1.772;0.552203301841714;5.331
112850B1344;1.41987;559;11;3;39.80;1.324;0.667053646023739;2.212
112850B0022;0.02423;73;4;2;75.56;1.320;0.704548414566442;2.859
112850B1503;0.03258;72;6;2;53.87;1.123;0.799245882487136;1.437
112850B0033;0.42988;282;5;2;66.01;1.214;0.746371171207258;1.727
112850B1407;0.08873;117;6;2;53.05;1.104;0.818200602210243;1.070
112850B1406;0.09399;123;6;2;51.11;1.127;0.792910669358885;1.105
112850B1567;0.05679;116;7;2;50.23;1.378;0.6695054610428;1.022
112850B1499;0.03370;148;9;2;56.52;2.271;0.421101304420375;3.759
112850B1498;0.01976;61;5;2;56.38;1.219;0.751746743279349;1.844
112850B1497;0.03910;109;12;3;43.12;1.552;0.549674445538352;3.138
112850B1551;0.01961;69;3;2;75.36;1.388;0.739423708856062;2.117
112850B1294;0.13406;150;5;3;47.19;1.153;0.826663267880269;1.378
112850B1565;0.00441;38;6;2;65.61;1.633;0.55557665472854;4.045
