PL;CODE_DEP;NOM_COM;CODE_COM;SECTION;NUMERO;DALLE;BOIS_%;NATURE_%;AUTRE_%;DOMINANTE;PROBA_DOMINANTE;SURF_TOTALE_M2
114300C0976;11;Villeneuve-la-Comptal;430;0C;0976;1;99.98;0.0;0.02;BOIS;100;1125.1
114300C0874;11;Villeneuve-la-Comptal;430;0C;0874;1;0.0;0.0;100.0;AUTRE;0;7807.9
114300C0875;11;Villeneuve-la-Comptal;430;0C;0875;1;0.0;0.0;100.0;AUTRE;0;3050.2
114300C0876;11;Villeneuve-la-Comptal;430;0C;0876;1;0.0;0.0;100.0;AUTRE;0;11191.8
114300C0961;11;Villeneuve-la-Comptal;430;0C;0961;1;0.0;0.0;100.0;AUTRE;0;7487.1
114300C1165;11;Villeneuve-la-Comptal;430;0C;1165;1;0.0;0.0;100.0;AUTRE;0;1637.8
114300C0963;11;Villeneuve-la-Comptal;430;0C;0963;1;0.0;0.0;100.0;AUTRE;0;1456.3
114300C0970;11;Villeneuve-la-Comptal;430;0C;0970;1;0.0;0.0;100.0;AUTRE;0;4047.5
114300C0971;11;Villeneuve-la-Comptal;430;0C;0971;1;7.18;0.0;92.82;AUTRE;0;5234.1
114300C0977;11;Villeneuve-la-Comptal;430;0C;0977;1;7.18;0.0;92.82;AUTRE;0;5762.2
114300C0978;11;Villeneuve-la-Comptal;430;0C;0978;1;4.57;0.0;95.43;AUTRE;0;2676.6
114300C0973;11;Villeneuve-la-Comptal;430;0C;0973;1;44.03;55.97;0.0;NATURE;100;3507.9
114300C0972;11;Villeneuve-la-Comptal;430;0C;0972;1;94.44;5.56;0.0;BOIS;100;3445.8
114300C0968;11;Villeneuve-la-Comptal;430;0C;0968;1;78.48;21.51;0.0;BOIS;100;1716.8
114300C0974;11;Villeneuve-la-Comptal;430;0C;0974;1;10.19;89.81;0.0;NATURE;100;2191.5
114300C1106;11;Villeneuve-la-Comptal;430;0C;1106;1;0.0;100.0;0.0;NATURE;100;585.2
114300C0975;11;Villeneuve-la-Comptal;430;0C;0975;1;26.98;73.02;0.0;NATURE;100;4643.9
114300C0980;11;Villeneuve-la-Comptal;430;0C;0980;1;67.97;32.03;0.0;BOIS;100;2126.1
114300C0981;11;Villeneuve-la-Comptal;430;0C;0981;1;84.72;15.28;0.0;BOIS;100;5454.0
114300C1002;11;Villeneuve-la-Comptal;430;0C;1002;1;27.44;72.56;0.0;NATURE;100;6110.0
114300C0982;11;Villeneuve-la-Comptal;430;0C;0982;1;24.12;0.0;75.88;AUTRE;0;8579.7
114300C0999;11;Villeneuve-la-Comptal;430;0C;0999;1;84.38;15.63;0.0;BOIS;100;1545.2
114300C0998;11;Villeneuve-la-Comptal;430;0C;0998;1;75.71;24.29;0.0;BOIS;100;1836.1
114300C0979;11;Villeneuve-la-Comptal;430;0C;0979;1;5.19;0.0;94.81;AUTRE;0;8067.3
114300C0988;11;Villeneuve-la-Comptal;430;0C;0988;1;18.16;81.84;0.0;NATURE;100;3828.4
114300C0987;11;Villeneuve-la-Comptal;430;0C;0987;1;94.79;0.06;5.16;BOIS;100;1681.3
114300C0983;11;Villeneuve-la-Comptal;430;0C;0983;1;0.0;0.0;100.0;AUTRE;0;4461.8
114300C0984;11;Villeneuve-la-Comptal;430;0C;0984;1;0.0;0.0;100.0;AUTRE;0;4776.2
114300C0985;11;Villeneuve-la-Comptal;430;0C;0985;1;3.74;0.0;96.26;AUTRE;0;1794.4
114300C0991;11;Villeneuve-la-Comptal;430;0C;0991;1;51.68;48.32;0.0;BOIS;100;2026.0
114300C0989;11;Villeneuve-la-Comptal;430;0C;0989;1;16.58;0.0;83.42;AUTRE;0;5119.6
114300C0992;11;Villeneuve-la-Comptal;430;0C;0992;1;100.0;0.0;0.0;BOIS;100;2211.8
114300C1000;11;Villeneuve-la-Comptal;430;0C;1000;1;40.45;59.55;0.0;NATURE;100;3317.7
114300C1001;11;Villeneuve-la-Comptal;430;0C;1001;1;0.0;100.0;0.0;NATURE;100;2141.5
114300C0339;11;Villeneuve-la-Comptal;430;0C;0339;1;0.0;95.42;4.58;NATURE;100;21834.4
114300C1245;11;Villeneuve-la-Comptal;430;0C;1245;1;3.17;1.22;95.61;AUTRE;0;21578.1
114300C0391;11;Villeneuve-la-Comptal;430;0C;0391;1;39.58;0.0;60.42;AUTRE;0;5572.7
114300C0503;11;Villeneuve-la-Comptal;430;0C;0503;1;0.0;100.0;0.0;NATURE;100;3240.5
114300C0593;11;Villeneuve-la-Comptal;430;0C;0593;1;0.0;8.04;91.96;AUTRE;0;3300.6
114300C0502;11;Villeneuve-la-Comptal;430;0C;0502;1;0.0;99.68;0.32;NATURE;100;3768.6
114300C0479;11;Villeneuve-la-Comptal;430;0C;0479;1;24.4;75.6;0.0;NATURE;100;2446.5
114300C0460;11;Villeneuve-la-Comptal;430;0C;0460;1;0.0;92.86;7.14;NATURE;100;2703.0
114300C0595;11;Villeneuve-la-Comptal;430;0C;0595;1;20.99;0.0;79.01;AUTRE;0;2676.2
114300C0478;11;Villeneuve-la-Comptal;430;0C;0478;1;94.13;5.87;0.0;BOIS;100;2291.7
114300C0500;11;Villeneuve-la-Comptal;430;0C;0500;1;51.87;48.13;0.0;BOIS;100;2390.4
114300C0461;11;Villeneuve-la-Comptal;430;0C;0461;1;0.01;99.99;0.0;NATURE;100;9970.8
114300C0594;11;Villeneuve-la-Comptal;430;0C;0594;1;0.0;2.1;97.9;AUTRE;0;3370.9
114300C0501;11;Villeneuve-la-Comptal;430;0C;0501;1;43.35;56.65;0.0;NATURE;100;2644.4
114300C0469;11;Villeneuve-la-Comptal;430;0C;0469;1;59.36;40.64;0.0;BOIS;100;4496.2
114300C0459;11;Villeneuve-la-Comptal;430;0C;0459;1;0.0;100.0;0.0;NATURE;100;1770.9
114300C0462;11;Villeneuve-la-Comptal;430;0C;0462;1;13.48;86.52;0.0;NATURE;100;1938.8
114300C0458;11;Villeneuve-la-Comptal;430;0C;0458;1;6.81;93.19;0.0;NATURE;100;1639.7
114300C0457;11;Villeneuve-la-Comptal;430;0C;0457;1;67.53;32.47;0.0;BOIS;100;3860.5
114300C0463;11;Villeneuve-la-Comptal;430;0C;0463;1;92.83;7.17;0.0;BOIS;100;2634.8
114300C0464;11;Villeneuve-la-Comptal;430;0C;0464;1;92.9;7.09;0.0;BOIS;100;2198.1
114300C0468;11;Villeneuve-la-Comptal;430;0C;0468;1;100.0;0.0;0.0;BOIS;100;2146.9
114300C0454;11;Villeneuve-la-Comptal;430;0C;0454;1;100.0;0.0;0.0;BOIS;100;2223.4
114300C1372;11;Villeneuve-la-Comptal;430;0C;1372;1;100.0;0.0;0.0;BOIS;100;1777.2
114300C0456;11;Villeneuve-la-Comptal;430;0C;0456;1;100.0;0.0;0.0;BOIS;100;1866.2
114300C0467;11;Villeneuve-la-Comptal;430;0C;0467;1;100.0;0.0;0.0;BOIS;100;1662.5
114300C0455;11;Villeneuve-la-Comptal;430;0C;0455;1;100.0;0.0;0.0;BOIS;100;8774.8
114300C1373;11;Villeneuve-la-Comptal;430;0C;1373;1;100.0;0.0;0.0;BOIS;100;1190.7
114300C1369;11;Villeneuve-la-Comptal;430;0C;1369;1;100.0;0.0;0.0;BOIS;100;745.4
114300C1370;11;Villeneuve-la-Comptal;430;0C;1370;1;99.99;0.0;0.01;BOIS;100;1355.1
114300C1374;11;Villeneuve-la-Comptal;430;0C;1374;1;100.0;0.0;0.0;BOIS;100;1320.3
114300C1371;11;Villeneuve-la-Comptal;430;0C;1371;1;99.9;0.0;0.1;BOIS;100;1205.0
114300C1375;11;Villeneuve-la-Comptal;430;0C;1375;1;99.69;0.0;0.31;BOIS;100;2484.0
11430AB0143;11;Villeneuve-la-Comptal;430;AB;0143;1;0.0;0.0;100.0;AUTRE;0;113.3
11430AB0151;11;Villeneuve-la-Comptal;430;AB;0151;1;0.0;0.0;100.0;AUTRE;0;92.6
11430AB0149;11;Villeneuve-la-Comptal;430;AB;0149;1;35.21;0.0;64.79;AUTRE;0;1187.1
11430AB0069;11;Villeneuve-la-Comptal;430;AB;0069;1;27.02;0.0;72.98;AUTRE;0;1260.6
11430AB0120;11;Villeneuve-la-Comptal;430;AB;0120;1;100.0;0.0;0.0;BOIS;100;879.2
11430AB0125;11;Villeneuve-la-Comptal;430;AB;0125;1;100.0;0.0;0.0;BOIS;100;2210.6
11430AB0122;11;Villeneuve-la-Comptal;430;AB;0122;1;100.0;0.0;0.0;BOIS;100;2167.3
11430AB0121;11;Villeneuve-la-Comptal;430;AB;0121;1;100.0;0.0;0.0;BOIS;100;3838.3
11430AB0123;11;Villeneuve-la-Comptal;430;AB;0123;1;100.0;0.0;0.0;BOIS;100;2221.2
11430AB0124;11;Villeneuve-la-Comptal;430;AB;0124;1;100.0;0.0;0.0;BOIS;100;2228.1
11430AB0119;11;Villeneuve-la-Comptal;430;AB;0119;1;100.0;0.0;0.0;BOIS;100;1635.8
11430AB0118;11;Villeneuve-la-Comptal;430;AB;0118;1;100.0;0.0;0.0;BOIS;100;1828.6
114300C0618;11;Villeneuve-la-Comptal;430;0C;0618;1;18.87;81.07;0.06;NATURE;100;4341.8
114300C0614;11;Villeneuve-la-Comptal;430;0C;0614;1;60.51;38.35;1.15;BOIS;100;8478.1
114300C0619;11;Villeneuve-la-Comptal;430;0C;0619;1;0.0;100.0;0.0;NATURE;100;2385.7
114300C0617;11;Villeneuve-la-Comptal;430;0C;0617;1;48.51;46.79;4.71;BOIS;100;4527.4
114300C0601;11;Villeneuve-la-Comptal;430;0C;0601;1;20.18;0.32;79.5;AUTRE;0;2811.9
114300C0616;11;Villeneuve-la-Comptal;430;0C;0616;1;0.0;100.0;0.0;NATURE;100;1071.1
114300C0615;11;Villeneuve-la-Comptal;430;0C;0615;1;4.62;95.38;0.0;NATURE;100;1245.7
114300C1332;11;Villeneuve-la-Comptal;430;0C;1332;1;41.81;41.93;16.26;NATURE;100;16467.4
114300C0611;11;Villeneuve-la-Comptal;430;0C;0611;1;23.92;0.0;76.08;AUTRE;0;5249.8
114300C0605;11;Villeneuve-la-Comptal;430;0C;0605;1;22.48;3.04;74.48;AUTRE;0;4343.2
114300C0610;11;Villeneuve-la-Comptal;430;0C;0610;1;20.42;0.0;79.58;AUTRE;0;5431.7
114300C0453;11;Villeneuve-la-Comptal;430;0C;0453;1;94.05;5.95;0.0;BOIS;100;2943.1
114300C0452;11;Villeneuve-la-Comptal;430;0C;0452;1;99.8;0.2;0.0;BOIS;100;7659.9
114300C0451;11;Villeneuve-la-Comptal;430;0C;0451;1;100.0;0.0;0.0;BOIS;100;2418.8
