PL;ARTIFICIALISE_OSO;AGRICULTURE_OSO;NATURE_OSO;BOIS_OSO;EAU_OSO;AUTRE_OSO;ARTIFICIALISE_RPG;AGRICULTURE_RPG;NATURE_RPG;BOIS_RPG;EAU_RPG;AUTRE_RPG;ARTIFICIALISE_TOPO;AGRICULTURE_TOPO;NATURE_TOPO;BOIS_TOPO;EAU_TOPO;AUTRE_TOPO;ARTIFICIALISE_COSIA;AGRICULTURE_COSIA;NATURE_COSIA;BOIS_COSIA;EAU_COSIA;AUTRE_COSIA;ARTIFICIALISE_FORET;AGRICULTURE_FORET;NATURE_FORET;BOIS_FORET;EAU_FORET;AUTRE_FORET;DIV_ARTIFICIALISE;DIV_AGRICULTURE;DIV_NATURE;DIV_BOIS;DIV_EAU;INDICE_DIVERGENCE;TAUX_ACCORD_PRECIS;CONSENSUS;SURFACE;GRAVELIUS
11430AO0067;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;100.0;23.94;0.0;71.47;4.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;43.30386495452802;0.0;31.962355670381996;2.0482382673898076;0.0;15.462891778459962;84.53710822154004;ARTIFICIALISE;319.59949996225276;3.461442165391327
11430AO0068;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;12.17;0.0;0.0;0.0;0.0;87.83;34.06;0.04;56.88;9.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;41.92716875726287;0.01788854381999832;25.43750931203761;4.03386663140962;0.0;14.283286648906019;85.71671335109399;ARTIFICIALISE;1206.0979499794587;1.1532211211054162
11430AO0069;100.0;0.0;0.0;0.0;0.0;0.0;0.0;42.7;0.0;0.0;0.0;57.3;4.21;0.0;0.0;0.0;0.0;95.79;52.36;3.35;38.59;5.58;0.12;0.0;0.0;0.0;0.0;0.0;0.0;100.0;44.31833909342723;18.77759302999189;17.25797265034338;2.495451862889766;0.05366563145999496;16.58060445362245;83.41939554637756;ARTIFICIALISE;5992.858950123505;1.621443830354048
11430AO0070;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;99.99;6.08;0.0;0.0;0.0;0.0;93.92;15.1;0.0;52.81;31.25;0.83;0.0;0.0;0.0;0.0;0.0;0.0;100.0;42.80203826922265;0.00447213595499958;23.61734997835278;13.975424859373685;0.37118728426496506;16.154094505433815;83.84590549456618;ARTIFICIALISE;1931.6239000504388;1.1914585871679222
11430AO0071;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;7.57;0.0;0.0;0.0;0.0;92.43;19.18;2.39;61.03;17.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;42.46193825062629;1.0688404932448996;27.293445733362432;7.781516561699267;0.0;15.721148207786579;84.27885179221342;ARTIFICIALISE;1911.4626999454536;1.4432070791630045
11430AO0072;98.3;1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;13.59;0.0;0.0;0.0;0.0;86.41;23.16;0.0;37.64;39.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;41.03737077347914;0.7602631123499285;16.833119734618418;17.53077294359835;0.0;15.232305312809165;84.76769468719084;ARTIFICIALISE;1245.8916999703022;1.1913646494082137
11430AO0073;93.89;0.0;6.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;8.2;0.0;0.0;0.0;0.0;91.8;23.1;0.0;41.35;35.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;39.62850892980961;0.0;18.004612464588067;15.898443320023503;0.0;14.706312942884235;85.29368705711576;ARTIFICIALISE;1328.5875499474957;1.2687812074090343
11430AO0074;88.46;0.0;11.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;7.3;0.0;0.0;0.0;0.0;92.7;25.31;0.0;45.81;27.33;1.55;0.0;0.0;0.0;0.0;0.0;0.0;100.0;37.374686353199;0.0;19.836350470789732;12.222347565013848;0.6931810730249348;14.025313092405503;85.9746869075945;ARTIFICIALISE;2712.116250070685;1.148357401718358
11430AO0075;71.5;2.03;26.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;6.73;0.0;0.0;0.0;0.0;93.27;27.1;0.0;34.7;38.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;30.3029335213606;0.9078435988649147;17.00082703870609;17.083559348098394;0.0;13.059032701406;86.940967298594;ARTIFICIALISE;2527.518449999895;1.186715364391272
11430AO0076;99.92;0.0;0.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;6.72;0.0;0.0;0.0;0.0;93.28;10.18;0.0;36.17;53.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;43.02154901906718;0.0;16.166808590442333;23.993009398572745;0.0;16.63627340161645;83.36372659838355;ARTIFICIALISE;2031.467249976157;1.2618699380690077
