PL;CODE_DEP;NOM_COM;CODE_COM;SECTION;NUMERO;DALLE;DOM_2018;PROB_2018;DOM_2019;PROB_2019;DOM_2020;PROB_2020;DOM_2021;PROB_2021;DOM_2022;PROB_2022;DOM_2023;PROB_2023;DOM_2024;PROB_2024;DOMINANTE;SCORE_STABILITE;PROBA_PONDEREE;LOGIQUE_ARBITRAGE
110340B0046;11;Belvèze-du-Razès;034;0B;0046;3;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
110340B0047;11;Belvèze-du-Razès;034;0B;0047;3;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;100.0;MAJORITE
110340B0027;11;Belvèze-du-Razès;034;0B;0027;3;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
110340B0967;11;Belvèze-du-Razès;034;0B;0967;3;AGRICULTURE;95.0;AGRICULTURE;90.1;AGRICULTURE;95.0;AGRICULTURE;96.0;AGRICULTURE;95.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;95.9;MAJORITE
110340B0029;11;Belvèze-du-Razès;034;0B;0029;3;AGRICULTURE;99.6;AGRICULTURE;99.3;AGRICULTURE;99.6;AGRICULTURE;99.7;AGRICULTURE;99.3;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;99.6;MAJORITE
110340B0028;11;Belvèze-du-Razès;034;0B;0028;3;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
110340B0806;11;Belvèze-du-Razès;034;0B;0806;3;AGRICULTURE;95.1;AGRICULTURE;90.2;AGRICULTURE;95.1;AGRICULTURE;96.1;AGRICULTURE;95.1;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;95.9;MAJORITE
110340B0034;11;Belvèze-du-Razès;034;0B;0034;3;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;100.0;MAJORITE
110340B0037;11;Belvèze-du-Razès;034;0B;0037;3;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;100.0;MAJORITE
110340B0035;11;Belvèze-du-Razès;034;0B;0035;3;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
110040A0209;11;Alaigne;004;0A;0209;3;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;100.0;MAJORITE
