PL;CODE_DEP;NOM_COM;CODE_COM;SECTION;NUMERO;DALLE;ARTIFICIALISE_%;AGRICULTURE_%;NATURE_%;BOIS_%;EAU_%;AUTRE_%;DOMINANTE;PROBA_PONDEREE;SURF_CAD
110150W0007;11;Arques;015;0W;0007;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;14698.754449993598
110150Z0160;11;Arques;015;0Z;0160;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;97942.32330026099
110150Z0161;11;Arques;015;0Z;0161;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;7612.499899905775
110150Z0162;11;Arques;015;0Z;0162;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;8244.719600020555
110150Z0164;11;Arques;015;0Z;0164;5;0.0;39.52;0.0;0.0;0.0;60.48;AUTRE;0.0;35271.69290009403
110150Z0163;11;Arques;015;0Z;0163;5;0.0;1.42;0.0;0.0;0.0;98.58;AUTRE;0.0;6942.230200068516
11287WK0037;11;Peyrolles;287;WK;0037;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;41831.39340014328
110150Z0145;11;Arques;015;0Z;0145;5;0.0;0.07;0.0;0.0;0.0;99.93;AUTRE;0.0;88101.60664982712
110150Z0144;11;Arques;015;0Z;0144;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;24471.757699970593
110150W0146;11;Arques;015;0W;0146;5;0.0;0.0;0.94;0.0;0.0;99.06;AUTRE;0.0;5597.655000214249
110150W0153;11;Arques;015;0W;0153;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;17877.80834998825
110150W0152;11;Arques;015;0W;0152;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;389.809300046814
110150W0151;11;Arques;015;0W;0151;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;659.5602999593547
110150W0147;11;Arques;015;0W;0147;5;0.0;0.0;3.63;0.0;0.0;96.37;AUTRE;0.0;24682.99644996843
110150W0148;11;Arques;015;0W;0148;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;17216.75165000897
110150W0150;11;Arques;015;0W;0150;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;2938.3385999691836
110150W0004;11;Arques;015;0W;0004;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;531.2112497998005
11287WK0061;11;Peyrolles;287;WK;0061;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;1250.3089999503406
11287WK0062;11;Peyrolles;287;WK;0062;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;12588.882199820448
110150W0149;11;Arques;015;0W;0149;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;659.5270499540256
11287WL0007;11;Peyrolles;287;WL;0007;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;373598.1150497944
11377WA0076;11;Serres;377;WA;0076;5;0.0;0.26;27.05;0.0;0.0;72.69;AUTRE;0.0;51310.22344991149
11287WL0040;11;Peyrolles;287;WL;0040;5;0.0;7.21;0.0;0.0;0.0;92.79;AUTRE;0.0;64260.70755029952
11377WA0087;11;Serres;377;WA;0087;5;0.0;42.25;35.58;0.0;0.0;22.17;AGRICULTURE;100.0;13439.215999824011
11287WL0038;11;Peyrolles;287;WL;0038;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;8243.230500047152
11377WA0084;11;Serres;377;WA;0084;5;0.0;46.05;43.37;0.0;0.0;10.58;AGRICULTURE;100.0;7417.746950069189
11287WL0041;11;Peyrolles;287;WL;0041;5;0.0;57.67;0.0;0.0;0.0;42.33;AGRICULTURE;100.0;5742.325699926017
11377WB0056;11;Serres;377;WB;0056;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;422329.67110031564
11377WB0058;11;Serres;377;WB;0058;5;0.0;0.0;0.02;0.0;0.0;99.98;AUTRE;0.0;196799.55749982968
11377WB0024;11;Serres;377;WB;0024;5;0.0;0.0;0.12;0.0;0.0;99.88;AUTRE;0.0;187214.50405003966
11377WB0053;11;Serres;377;WB;0053;5;0.0;0.04;5.33;0.0;0.0;94.63;AUTRE;0.0;31181.24280001351
11377WB0062;11;Serres;377;WB;0062;5;0.0;0.67;26.61;0.0;0.0;72.72;AUTRE;0.0;289618.698650413
11377WB0054;11;Serres;377;WB;0054;5;0.0;0.0;86.05;0.0;0.0;13.95;NATURE;100.0;28847.051350067504
11377WB0030;11;Serres;377;WB;0030;5;0.0;10.19;0.24;0.0;0.0;89.57;AUTRE;0.0;7506.140199991654
11377WB0042;11;Serres;377;WB;0042;5;0.0;0.0;28.38;0.0;0.0;71.62;AUTRE;0.0;1033.9232999941382
11377WB0044;11;Serres;377;WB;0044;5;0.0;36.0;32.86;0.0;0.0;31.15;AGRICULTURE;100.0;7452.854899927882
11377WB0041;11;Serres;377;WB;0041;5;0.0;2.33;1.75;0.0;0.0;95.92;AUTRE;0.0;10307.114999894362
11377WB0031;11;Serres;377;WB;0031;5;0.0;8.62;81.98;0.0;0.0;9.4;NATURE;100.0;6637.0534998671665
11377WB0043;11;Serres;377;WB;0043;5;0.0;0.51;92.31;0.0;0.0;7.18;NATURE;100.0;4685.121150040427
11377WB0040;11;Serres;377;WB;0040;5;0.0;66.11;3.61;0.0;0.0;30.28;AGRICULTURE;100.0;2323.3362500052344
11377WB0045;11;Serres;377;WB;0045;5;0.0;0.04;73.9;0.0;0.0;26.07;NATURE;100.0;2648.302400009769
11377WB0039;11;Serres;377;WB;0039;5;0.0;5.56;79.8;0.0;0.0;14.64;NATURE;100.0;6683.7356001441785
11377WB0046;11;Serres;377;WB;0046;5;0.0;66.71;19.74;0.0;0.0;13.55;AGRICULTURE;100.0;19224.162549820074
11377WA0102;11;Serres;377;WA;0102;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;1374.6521999408044
11377WB0059;11;Serres;377;WB;0059;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;254835.23820056597
11377WB0038;11;Serres;377;WB;0038;5;0.0;84.57;1.19;0.0;0.0;14.23;AGRICULTURE;100.0;5229.365200044181
11377WB0052;11;Serres;377;WB;0052;5;0.0;35.75;37.57;0.0;0.0;26.68;NATURE;100.0;8768.850150069657
11377WA0107;11;Serres;377;WA;0107;5;0.0;0.33;0.0;0.0;0.0;99.67;AUTRE;0.0;23856.13985010425
11377WA0089;11;Serres;377;WA;0089;5;0.0;0.0;98.75;0.0;0.0;1.25;NATURE;100.0;5916.985799843417
11377WA0230;11;Serres;377;WA;0230;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;5421.591099833642
11377WA0090;11;Serres;377;WA;0090;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;897.1861002617788
11377WA0091;11;Serres;377;WA;0091;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;719.8492998937991
11377WA0092;11;Serres;377;WA;0092;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;10399.196199878505
11377WA0088;11;Serres;377;WA;0088;5;0.0;75.24;0.0;0.0;0.0;24.76;AGRICULTURE;100.0;4669.221450023489
11377WA0093;11;Serres;377;WA;0093;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;580.8461000350833
11377WA0094;11;Serres;377;WA;0094;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;446.80065000691394
11377WB0049;11;Serres;377;WB;0049;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;6873.738449967381
11377WA0099;11;Serres;377;WA;0099;5;0.0;47.56;11.89;0.0;0.0;40.55;AGRICULTURE;100.0;13289.66515008425
11377WB0047;11;Serres;377;WB;0047;5;0.0;0.48;92.25;0.0;0.0;7.27;NATURE;100.0;13025.717500098757
11377WA0108;11;Serres;377;WA;0108;5;0.0;65.27;0.9;0.0;0.0;33.83;AGRICULTURE;100.0;85654.50439963661
11377WA0101;11;Serres;377;WA;0101;5;0.0;59.28;0.0;0.0;0.0;40.72;AGRICULTURE;93.0;2568.006100063455
11377WB0048;11;Serres;377;WB;0048;5;0.0;71.05;0.0;0.0;0.0;28.95;AGRICULTURE;100.0;36769.82705008859
11377WA0100;11;Serres;377;WA;0100;5;0.0;88.55;0.0;0.0;0.0;11.45;AGRICULTURE;100.0;3337.296700028421
11377WA0095;11;Serres;377;WA;0095;5;0.0;81.53;0.0;0.0;0.0;18.47;AGRICULTURE;100.0;3857.4499501054825
11377WA0097;11;Serres;377;WA;0097;5;0.0;0.96;0.0;0.0;0.0;99.04;AUTRE;0.0;1234.2704499699012
11377WA0105;11;Serres;377;WA;0105;5;0.0;22.89;0.0;0.0;0.0;77.11;AUTRE;0.0;12204.296199940067
11377WB0061;11;Serres;377;WB;0061;5;0.0;73.14;0.0;0.0;0.0;26.86;AGRICULTURE;100.0;2435.739399874932
